#File	/home/pi/RbData/2019-03-15/POL2019-03-15_191657.dat
#Comments	Run 2/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->s+, Run 1/3
#IonGauge(Torr):	2.27E-02
#CVGauge(N2)(Torr):	7.27E-02
#CVGauge(He)(Torr):	1.47E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	170
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	137	-1.758671e-01	-0.010309	0.000000
20	145	-1.648754e-01	-0.065744	0.104720
40	133	-1.819736e-01	0.003367	0.209440
60	121	-1.819736e-01	-0.000000	0.314159
80	112	-1.709819e-01	-0.014085	0.418879
100	141	-1.893014e-01	0.003236	0.523599
120	125	-1.746458e-01	-0.013793	0.628319
140	142	-1.722032e-01	-0.030928	0.733038
160	128	-1.831949e-01	-0.019608	0.837758
180	124	-1.954079e-01	0.052632	0.942478
200	144	-1.685393e-01	-0.031579	1.047198
220	121	-1.795310e-01	0.020833	1.151917
240	130	-1.819736e-01	0.064286	1.256637
260	118	-1.795310e-01	0.035211	1.361357
280	148	-1.880801e-01	0.006536	1.466077
300	149	-1.844162e-01	0.052265	1.570796
320	114	-1.673180e-01	-0.045296	1.675516
340	137	-1.868588e-01	-0.006494	1.780236
360	132	-2.002931e-01	0.012346	1.884956
380	127	-1.709819e-01	-0.057239	1.989675
400	144	-1.844162e-01	0.003322	2.094395
420	143	-1.856375e-01	-0.025641	2.199115
440	157	-1.905227e-01	0.016287	2.303835
460	142	-1.807523e-01	-0.029508	2.408554
480	134	-1.770884e-01	-0.055375	2.513274
500	163	-1.538837e-01	-0.086957	2.617994
520	141	-1.868588e-01	0.006579	2.722714
540	111	-1.795310e-01	-0.026490	2.827433
560	151	-1.770884e-01	0.003460	2.932153
580	110	-1.831949e-01	0.016949	3.036873
600	143	-1.880801e-01	0.016502	3.141593
620	145	-2.051783e-01	0.012048	3.246312
640	132	-1.929653e-01	0.056856	3.351032
660	141	-2.051783e-01	0.040248	3.455752
680	164	-2.161700e-01	0.089231	3.560472
700	153	-2.210552e-01	0.055394	3.665191
720	171	-1.893014e-01	-0.012739	3.769911
740	150	-1.807523e-01	-0.038961	3.874631
760	143	-1.905227e-01	-0.006369	3.979351
780	147	-1.856375e-01	-0.016181	4.084070
800	133	-2.002931e-01	0.012346	4.188790
820	155	-1.856375e-01	-0.009772	4.293510
840	140	-2.002931e-01	-0.000000	4.398230
860	149	-1.917440e-01	-0.039755	4.502949
880	150	-2.076209e-01	0.017964	4.607669
900	151	-1.807523e-01	-0.063291	4.712389
920	130	-1.856375e-01	-0.041009	4.817109
940	140	-1.868588e-01	-0.034700	4.921829
960	137	-1.954079e-01	-0.021407	5.026548
980	162	-1.990718e-01	0.009288	5.131268
1000	134	-1.929653e-01	0.019355	5.235988
1020	136	-2.149487e-01	0.038348	5.340708
1040	147	-2.002931e-01	0.028213	5.445427
1060	144	-2.100635e-01	0.061728	5.550147
1080	148	-2.002931e-01	0.031447	5.654867
1100	144	-1.868588e-01	-0.012903	5.759587
1120	165	-1.954079e-01	-0.012346	5.864306
1140	148	-1.819736e-01	-0.056962	5.969026
1160	156	-1.905227e-01	0.003215	6.073746
1180	145	-1.660967e-01	-0.074830	6.178466
