#File	/home/pi/RbData/2019-03-15/POL2019-03-15_191811.dat
#Comments	Run 2/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->s-, Run 1/3
#IonGauge(Torr):	2.25E-02
#CVGauge(N2)(Torr):	7.29E-02
#CVGauge(He)(Torr):	1.50E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	165	-1.880801e-01	0.073171	0.000000
20	137	-1.844162e-01	-0.006579	0.104720
40	141	-1.954079e-01	0.032258	0.209440
60	138	-1.831949e-01	-0.019608	0.314159
80	152	-1.978505e-01	0.045161	0.418879
100	147	-1.856375e-01	-0.000000	0.523599
120	146	-2.112848e-01	0.064615	0.628319
140	138	-1.941866e-01	0.015974	0.733038
160	130	-1.868588e-01	0.026846	0.837758
180	164	-1.856375e-01	0.013333	0.942478
200	129	-1.807523e-01	-0.010033	1.047198
220	132	-1.954079e-01	0.035599	1.151917
240	165	-1.954079e-01	0.066667	1.256637
260	150	-2.076209e-01	0.069182	1.361357
280	139	-1.880801e-01	-0.009646	1.466077
300	132	-1.941866e-01	0.039216	1.570796
320	124	-1.722032e-01	-0.034247	1.675516
340	143	-1.599902e-01	-0.090278	1.780236
360	126	-1.831949e-01	-0.047619	1.884956
380	141	-1.893014e-01	0.036789	1.989675
400	152	-1.868588e-01	-0.006494	2.094395
420	175	-1.819736e-01	-0.022951	2.199115
440	141	-1.880801e-01	-0.022222	2.303835
460	137	-1.880801e-01	-0.019108	2.408554
480	147	-1.783097e-01	-0.033113	2.513274
500	124	-1.893014e-01	0.076389	2.617994
520	123	-1.868588e-01	-0.009709	2.722714
540	127	-2.039570e-01	0.030864	2.827433
560	143	-1.770884e-01	-0.030100	2.932153
580	144	-1.844162e-01	-0.009836	3.036873
600	154	-1.880801e-01	-0.058104	3.141593
620	143	-1.868588e-01	-0.022364	3.246312
640	142	-1.966292e-01	-0.006173	3.351032
660	125	-1.954079e-01	-0.024390	3.455752
680	141	-1.868588e-01	-0.049689	3.560472
700	159	-1.929653e-01	0.019355	3.665191
720	143	-1.978505e-01	0.028571	3.769911
740	150	-1.917440e-01	0.012903	3.874631
760	151	-2.002931e-01	-0.000000	3.979351
780	135	-1.880801e-01	-0.049383	4.084070
800	132	-2.161700e-01	0.085890	4.188790
820	118	-1.966292e-01	0.022222	4.293510
840	156	-1.917440e-01	0.009646	4.398230
860	137	-1.856375e-01	-0.000000	4.502949
880	146	-1.880801e-01	-0.028391	4.607669
900	161	-1.856375e-01	-0.009772	4.712389
920	137	-1.941866e-01	-0.012422	4.817109
940	129	-1.917440e-01	-0.000000	4.921829
960	159	-1.880801e-01	0.019868	5.026548
980	136	-2.051783e-01	0.024390	5.131268
1000	151	-2.063996e-01	-0.000000	5.235988
1020	140	-1.978505e-01	-0.006135	5.340708
1040	190	-1.819736e-01	-0.026144	5.445427
1060	156	-1.868588e-01	-0.028571	5.550147
1080	152	-2.002931e-01	0.015480	5.654867
1100	140	-2.002931e-01	0.021807	5.759587
1120	146	-1.831949e-01	-0.041534	5.864306
1140	142	-1.954079e-01	-0.009288	5.969026
1160	145	-2.015144e-01	-0.003021	6.073746
1180	163	-1.966292e-01	-0.012270	6.178466
