#File	/home/pi/RbData/2019-03-15/POL2019-03-15_191937.dat
#Comments	Run 2/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->none, Run 2/3
#IonGauge(Torr):	2.38E-02
#CVGauge(N2)(Torr):	7.40E-02
#CVGauge(He)(Torr):	1.52E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	151	-2.125061e-01	0.023529	0.000000
20	176	-2.259404e-01	-0.010695	0.104720
40	170	-2.234978e-01	0.016667	0.209440
60	183	-2.234978e-01	0.002740	0.314159
80	160	-2.039570e-01	-0.048433	0.418879
100	148	-2.210552e-01	0.025496	0.523599
120	170	-2.271617e-01	-0.013263	0.628319
140	157	-2.234978e-01	0.011050	0.733038
160	165	-2.173913e-01	-0.024658	0.837758
180	172	-2.234978e-01	0.016667	0.942478
200	149	-2.247191e-01	-0.000000	1.047198
220	148	-2.344895e-01	0.032258	1.151917
240	159	-2.173913e-01	0.014245	1.256637
260	162	-2.247191e-01	0.045455	1.361357
280	159	-2.161700e-01	-0.027473	1.466077
300	178	-1.990718e-01	-0.049563	1.570796
320	137	-2.100635e-01	-0.005780	1.675516
340	145	-2.308256e-01	0.002653	1.780236
360	178	-2.271617e-01	0.008130	1.884956
380	182	-2.173913e-01	0.028902	1.989675
400	174	-1.941866e-01	-0.053571	2.094395
420	180	-2.149487e-01	-0.014006	2.199115
440	186	-2.222765e-01	0.028249	2.303835
460	155	-1.954079e-01	-0.018405	2.408554
480	172	-2.234978e-01	0.019499	2.513274
500	150	-2.149487e-01	0.008596	2.617994
520	173	-2.296043e-01	0.038674	2.722714
540	136	-2.222765e-01	-0.018868	2.827433
560	148	-2.051783e-01	-0.034483	2.932153
580	145	-2.198339e-01	0.005587	3.036873
600	167	-2.161700e-01	-0.019391	3.141593
620	164	-2.149487e-01	-0.016760	3.246312
640	177	-2.271617e-01	0.016393	3.351032
660	175	-2.112848e-01	-0.028090	3.455752
680	169	-2.271617e-01	0.008130	3.560472
700	180	-2.247191e-01	0.013774	3.665191
720	130	-2.259404e-01	0.016484	3.769911
740	157	-1.978505e-01	-0.068966	3.874631
760	151	-2.259404e-01	0.027778	3.979351
780	174	-2.540303e-01	0.034826	4.084070
800	162	-2.308256e-01	-0.020725	4.188790
820	173	-2.137274e-01	0.032448	4.293510
840	170	-2.173913e-01	-0.024658	4.398230
860	160	-2.369321e-01	0.015707	4.502949
880	137	-2.271617e-01	-0.002681	4.607669
900	148	-2.332682e-01	-0.000000	4.712389
920	142	-2.369321e-01	0.007792	4.817109
940	165	-2.137274e-01	-0.056604	4.921829
960	162	-2.210552e-01	-0.005495	5.026548
980	168	-2.369321e-01	0.051491	5.131268
1000	171	-2.332682e-01	0.021390	5.235988
1020	174	-2.296043e-01	-0.015707	5.340708
1040	159	-2.149487e-01	-0.032967	5.445427
1060	164	-2.283830e-01	0.002681	5.550147
1080	161	-2.076209e-01	-0.042254	5.654867
1100	154	-2.369321e-01	0.045822	5.759587
1120	128	-2.320469e-01	0.049724	5.864306
1140	161	-2.259404e-01	0.033520	5.969026
1160	167	-2.161700e-01	-0.011173	6.073746
1180	146	-2.234978e-01	-0.021390	6.178466
