#File	/home/pi/RbData/2019-03-15/POL2019-03-15_184917.dat
#Comments	Run 1/2, AOUT=528, variac->14, nRb->6*^12, pRb->.4, AOUT->528, pump->s+, Run 3/3
#IonGauge(Torr):	2.27E-02
#CVGauge(N2)(Torr):	7.27E-02
#CVGauge(He)(Torr):	1.47E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	528
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	170
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	3389	-2.100635e-01	-0.039106	0.000000
20	3341	-2.308256e-01	0.083095	0.104720
40	3393	-2.100635e-01	-0.017143	0.209440
60	3320	-2.100635e-01	-0.022727	0.314159
80	3456	-2.149487e-01	0.023256	0.418879
100	3441	-2.259404e-01	0.016484	0.523599
120	3349	-2.186126e-01	-0.000000	0.628319
140	3407	-2.296043e-01	0.030137	0.733038
160	3396	-2.296043e-01	0.013477	0.837758
180	3358	-2.210552e-01	0.002770	0.942478
200	3343	-2.308256e-01	0.038462	1.047198
220	3406	-2.259404e-01	0.013699	1.151917
240	3292	-2.259404e-01	0.024931	1.256637
260	3397	-2.210552e-01	0.019718	1.361357
280	3420	-2.173913e-01	-0.011111	1.466077
300	3356	-2.051783e-01	-0.023256	1.570796
320	3289	-2.149487e-01	0.044510	1.675516
340	3268	-2.320469e-01	0.016043	1.780236
360	3102	-2.247191e-01	0.030812	1.884956
380	3086	-2.100635e-01	-0.033708	1.989675
400	3123	-2.271617e-01	-0.026178	2.094395
420	3123	-2.051783e-01	-0.048159	2.199115
440	3064	-2.210552e-01	-0.013624	2.303835
460	3255	-2.369321e-01	0.065934	2.408554
480	3303	-1.941866e-01	-0.075581	2.513274
500	3244	-2.173913e-01	0.011364	2.617994
520	3306	-2.210552e-01	-0.024259	2.722714
540	3328	-2.332682e-01	0.007916	2.827433
560	3397	-2.357108e-01	0.010471	2.932153
580	3346	-2.173913e-01	0.002817	3.036873
600	3419	-2.161700e-01	-0.038044	3.141593
620	3435	-2.369321e-01	0.015707	3.246312
640	3461	-2.173913e-01	-0.008357	3.351032
660	3425	-2.198339e-01	-0.040000	3.455752
680	3428	-2.320469e-01	-0.002625	3.560472
700	3295	-2.112848e-01	-0.025352	3.665191
720	3369	-2.247191e-01	0.051429	3.769911
740	3457	-2.259404e-01	-0.038961	3.874631
760	3338	-2.271617e-01	0.008130	3.979351
780	3332	-2.186126e-01	-0.002786	4.084070
800	3452	-2.271617e-01	0.033333	4.188790
820	3405	-2.247191e-01	-0.021277	4.293510
840	3501	-2.479238e-01	0.076923	4.398230
860	3533	-2.198339e-01	-0.016393	4.502949
880	3320	-2.259404e-01	0.022099	4.607669
900	3475	-2.308256e-01	0.035616	4.712389
920	3269	-2.357108e-01	0.007833	4.817109
940	3433	-2.247191e-01	0.002725	4.921829
960	3292	-2.283830e-01	-0.013193	5.026548
980	3273	-2.467025e-01	0.065963	5.131268
1000	3289	-2.344895e-01	-0.005181	5.235988
1020	3245	-2.247191e-01	0.008219	5.340708
1040	3397	-2.332682e-01	0.026882	5.445427
1060	3431	-2.332682e-01	0.018667	5.550147
1080	3404	-2.271617e-01	-0.002681	5.654867
1100	3557	-2.259404e-01	0.008174	5.759587
1120	3396	-2.210552e-01	-0.008219	5.864306
1140	3611	-2.393747e-01	0.020833	5.969026
1160	3609	-2.283830e-01	-0.005319	6.073746
1180	3685	-2.076209e-01	-0.078591	6.178466
