#File	/home/pi/RbData/2019-03-15/POL2019-03-15_191542.dat
#Comments	Run 2/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->none, Run 1/3
#IonGauge(Torr):	2.39E-02
#CVGauge(N2)(Torr):	7.46E-02
#CVGauge(He)(Torr):	1.54E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	150	-1.978505e-01	-0.003077	0.000000
20	159	-2.051783e-01	0.012048	0.104720
40	155	-1.954079e-01	-0.061584	0.209440
60	162	-2.051783e-01	-0.005917	0.314159
80	143	-2.051783e-01	0.015106	0.418879
100	137	-2.051783e-01	0.024390	0.523599
120	143	-1.880801e-01	-0.031447	0.628319
140	132	-2.063996e-01	-0.020290	0.733038
160	144	-1.905227e-01	-0.021944	0.837758
180	134	-1.941866e-01	-0.024540	0.942478
200	122	-1.978505e-01	-0.009174	1.047198
220	135	-1.905227e-01	-0.015773	1.151917
240	164	-1.966292e-01	0.003115	1.256637
260	159	-1.978505e-01	-0.032836	1.361357
280	156	-2.186126e-01	0.031700	1.466077
300	139	-2.015144e-01	-0.014925	1.570796
320	143	-1.966292e-01	-0.021277	1.675516
340	145	-2.002931e-01	-0.000000	1.780236
360	163	-2.027357e-01	0.003021	1.884956
380	137	-1.990718e-01	-0.043988	1.989675
400	165	-1.929653e-01	-0.000000	2.094395
420	158	-1.954079e-01	0.006289	2.199115
440	148	-2.125061e-01	0.051360	2.303835
460	132	-1.954079e-01	0.003135	2.408554
480	141	-2.210552e-01	0.083832	2.513274
500	130	-1.905227e-01	-0.000000	2.617994
520	135	-2.027357e-01	0.021538	2.722714
540	132	-2.027357e-01	-0.005988	2.827433
560	140	-1.966292e-01	-0.018293	2.932153
580	129	-2.015144e-01	-0.011976	3.036873
600	134	-2.112848e-01	0.058104	3.141593
620	149	-1.880801e-01	-0.034483	3.246312
640	170	-1.868588e-01	-0.003257	3.351032
660	142	-1.868588e-01	-0.031646	3.455752
680	156	-1.905227e-01	-0.018868	3.560472
700	159	-1.880801e-01	0.013158	3.665191
720	161	-1.941866e-01	0.046053	3.769911
740	146	-1.941866e-01	-0.006250	3.874631
760	160	-2.027357e-01	0.047319	3.979351
780	165	-1.783097e-01	-0.093168	4.084070
800	156	-1.893014e-01	0.026490	4.188790
820	129	-1.868588e-01	-0.019231	4.293510
840	123	-1.856375e-01	-0.025641	4.398230
860	153	-1.905227e-01	0.006452	4.502949
880	146	-1.966292e-01	-0.018293	4.607669
900	117	-1.966292e-01	-0.003096	4.712389
920	145	-1.868588e-01	-0.022364	4.817109
940	149	-1.868588e-01	0.013245	4.921829
960	122	-2.015144e-01	0.037736	5.026548
980	147	-1.844162e-01	-0.019481	5.131268
1000	153	-2.002931e-01	0.009231	5.235988
1020	135	-1.807523e-01	-0.029508	5.340708
1040	143	-1.905227e-01	-0.012658	5.445427
1060	136	-2.002931e-01	-0.000000	5.550147
1080	130	-1.929653e-01	0.009585	5.654867
1100	136	-1.917440e-01	0.029508	5.759587
1120	119	-1.819736e-01	-0.013245	5.864306
1140	139	-1.917440e-01	-0.012579	5.969026
1160	147	-1.868588e-01	-0.028571	6.073746
1180	137	-1.917440e-01	0.003195	6.178466
