#File	/home/pi/RbData/2019-03-15/POL2019-03-15_192558.dat
#Comments	Run 2/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->s-, Run 3/3
#IonGauge(Torr):	2.26E-02
#CVGauge(N2)(Torr):	7.29E-02
#CVGauge(He)(Torr):	1.55E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	114	-1.734245e-01	-0.000000	0.000000
20	119	-1.868588e-01	-0.003257	0.104720
40	135	-1.929653e-01	0.046358	0.209440
60	140	-1.929653e-01	0.032680	0.314159
80	131	-1.844162e-01	0.020270	0.418879
100	119	-1.734245e-01	-0.017301	0.523599
120	169	-1.807523e-01	0.049645	0.628319
140	138	-1.783097e-01	-0.033113	0.733038
160	137	-1.722032e-01	0.014388	0.837758
180	156	-1.954079e-01	0.052632	0.942478
200	137	-1.697606e-01	-0.017668	1.047198
220	123	-1.905227e-01	0.033113	1.151917
240	119	-1.734245e-01	-0.059603	1.256637
260	122	-1.599902e-01	-0.057554	1.361357
280	128	-1.697606e-01	-0.000000	1.466077
300	116	-1.709819e-01	0.021898	1.570796
320	120	-1.563263e-01	-0.069091	1.675516
340	143	-1.734245e-01	-0.006993	1.780236
360	134	-1.783097e-01	-0.036304	1.884956
380	133	-1.844162e-01	0.044983	1.989675
400	148	-1.819736e-01	0.056738	2.094395
420	130	-1.660967e-01	0.062500	2.199115
440	136	-1.685393e-01	-0.014286	2.303835
460	142	-1.624328e-01	-0.036232	2.408554
480	124	-1.477772e-01	-0.072797	2.513274
500	150	-1.673180e-01	-0.035211	2.617994
520	136	-1.783097e-01	0.031802	2.722714
540	129	-1.770884e-01	0.024735	2.827433
560	145	-1.636541e-01	-0.039427	2.932153
580	127	-1.807523e-01	-0.010033	3.036873
600	116	-1.612115e-01	-0.000000	3.141593
620	121	-1.722032e-01	-0.017422	3.246312
640	138	-1.685393e-01	-0.044983	3.351032
660	142	-1.807523e-01	0.116981	3.455752
680	150	-1.612115e-01	-0.007519	3.560472
700	147	-1.795310e-01	-0.000000	3.665191
720	135	-1.807523e-01	0.042254	3.769911
740	133	-1.844162e-01	0.059649	3.874631
760	133	-1.893014e-01	0.043771	3.979351
780	145	-1.722032e-01	-0.027586	4.084070
800	156	-1.831949e-01	0.041667	4.188790
820	134	-1.660967e-01	-0.018051	4.293510
840	143	-1.746458e-01	0.007042	4.398230
860	149	-1.734245e-01	0.021583	4.502949
880	135	-1.624328e-01	-0.073171	4.607669
900	127	-1.746458e-01	-0.017182	4.712389
920	150	-1.624328e-01	-0.063380	4.817109
940	146	-1.954079e-01	0.095890	4.921829
960	145	-1.795310e-01	0.027972	5.026548
980	154	-1.685393e-01	0.022222	5.131268
1000	133	-1.673180e-01	-0.010830	5.235988
1020	136	-1.722032e-01	0.007143	5.340708
1040	143	-1.746458e-01	0.021429	5.445427
1060	128	-1.880801e-01	0.073171	5.550147
1080	118	-1.734245e-01	0.014286	5.654867
1100	113	-1.819736e-01	-0.013245	5.759587
1120	135	-1.660967e-01	-0.042254	5.864306
1140	119	-1.783097e-01	0.020979	5.969026
1160	165	-1.795310e-01	0.027972	6.073746
1180	132	-1.746458e-01	0.017794	6.178466
