#File	/home/pi/RbData/2018-03-20/POL2018-03-20_105623.dat
#Comments	Run 4/7, AOUT=312, temp=120.5,  Stepping temp from 135.5 to 115 in steps of 3, 500 mTorr, AOUT=312, pump=s+
#IonGauge(Torr):	3.61E-04
#CVGauge(N2)(Torr):	5.92E-01
#CVGauge(He)(Torr):	1.17E-03
#CURTEMP_R(degC):	120.400002
#SETTEMP_R(degC):	120.500000
#CURTEMP_T(degC):	150.000000
#SETTEMP_T(degC):	150.000000
#AOUT:	312
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.031007
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	2979	-0.356619	0.000000	0.000000
20	2831	-0.355398	0.001221	0.104720
40	2906	-0.356619	0.000000	0.209440
60	2907	-0.356619	0.001221	0.314159
80	2881	-0.355398	0.001221	0.418879
100	2926	-0.356009	0.000611	0.523599
120	2794	-0.356619	0.000000	0.628319
140	2868	-0.352956	0.000000	0.733038
160	2816	-0.355398	0.001221	0.837758
180	2838	-0.354787	0.000611	0.942478
200	2936	-0.354787	0.001832	1.047198
220	2924	-0.354177	0.001221	1.151917
240	2834	-0.356619	0.000000	1.256637
260	2928	-0.355398	0.001221	1.361357
280	2839	-0.353566	0.000611	1.466077
300	2773	-0.354177	0.000000	1.570796
320	2786	-0.356009	0.000611	1.675516
340	2700	-0.352956	0.000000	1.780236
360	2685	-0.354177	0.002443	1.884956
380	2718	-0.353566	0.000611	1.989675
400	2573	-0.354177	0.000000	2.094395
420	2640	-0.354177	0.000000	2.199115
440	2645	-0.351734	0.000000	2.303835
460	2741	-0.354177	0.000000	2.408554
480	2639	-0.352345	0.001832	2.513274
500	2885	-0.352956	0.001221	2.617994
520	2860	-0.352345	0.000611	2.722714
540	2896	-0.352345	0.000611	2.827433
560	2841	-0.352956	0.001221	2.932153
580	2873	-0.355398	0.001221	3.036873
600	2918	-0.357841	0.000000	3.141593
620	2875	-0.354787	0.001832	3.246312
640	2777	-0.352956	0.001221	3.351032
660	2817	-0.356619	0.000000	3.455752
680	2893	-0.354787	0.000611	3.560472
700	2751	-0.356009	0.000611	3.665191
720	2860	-0.355398	0.001221	3.769911
740	2827	-0.356619	0.000000	3.874631
760	2781	-0.356009	0.000611	3.979351
780	2894	-0.356009	0.000611	4.084070
800	2834	-0.356619	0.000000	4.188790
820	2827	-0.357230	0.000611	4.293510
840	2845	-0.356009	0.000611	4.398230
860	2831	-0.356619	0.000000	4.502949
880	2783	-0.356619	0.000000	4.607669
900	2749	-0.355398	0.002443	4.712389
920	2761	-0.355398	0.000000	4.817109
940	2759	-0.356009	0.000611	4.921829
960	2649	-0.357230	0.000611	5.026548
980	2602	-0.357841	0.001221	5.131268
1000	2659	-0.356619	0.000000	5.235988
1020	2628	-0.356619	0.001221	5.340708
1040	2658	-0.356009	0.001832	5.445427
1060	2738	-0.356619	0.000000	5.550147
1080	2777	-0.356619	0.000000	5.654867
1100	2861	-0.357230	0.000611	5.759587
1120	2827	-0.356619	0.001221	5.864306
1140	2819	-0.357230	0.000611	5.969026
1160	2841	-0.356619	0.001221	6.073746
1180	2856	-0.356619	0.000000	6.178466
