#File	/home/pi/RbData/2018-03-20/POL2018-03-20_105922.dat
#Comments	Run 5/7, AOUT=312, temp=120.5,  Stepping temp from 135.5 to 115 in steps of 3, 500 mTorr, AOUT=312, pump=none
#IonGauge(Torr):	3.52E-04
#CVGauge(N2)(Torr):	5.92E-01
#CVGauge(He)(Torr):	1.18E-03
#CURTEMP_R(degC):	120.400002
#SETTEMP_R(degC):	120.500000
#CURTEMP_T(degC):	149.899994
#SETTEMP_T(degC):	150.000000
#AOUT:	312
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.031007
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	2754	-0.357230	0.000611	0.000000
20	2849	-0.356009	0.001832	0.104720
40	2818	-0.356619	0.000000	0.209440
60	2739	-0.356619	0.000000	0.314159
80	2861	-0.356009	0.000611	0.418879
100	2681	-0.354787	0.000611	0.523599
120	2808	-0.352956	0.001221	0.628319
140	2764	-0.356009	0.000611	0.733038
160	2784	-0.354177	0.001221	0.837758
180	2778	-0.354177	0.000000	0.942478
200	2832	-0.353566	0.000611	1.047198
220	2919	-0.353566	0.001832	1.151917
240	2809	-0.352345	0.000611	1.256637
260	2872	-0.353566	0.000611	1.361357
280	2819	-0.351734	0.000000	1.466077
300	2917	-0.354177	0.000000	1.570796
320	2804	-0.351734	0.000000	1.675516
340	2759	-0.353566	0.000611	1.780236
360	2694	-0.351734	0.000000	1.884956
380	2789	-0.351124	0.000611	1.989675
400	2670	-0.353566	0.000611	2.094395
420	2715	-0.353566	0.000611	2.199115
440	2756	-0.352956	0.001221	2.303835
460	2786	-0.352345	0.000611	2.408554
480	2854	-0.352345	0.000611	2.513274
500	2816	-0.351734	0.000000	2.617994
520	2834	-0.351734	0.000000	2.722714
540	2769	-0.352345	0.000611	2.827433
560	2817	-0.352345	0.000611	2.932153
580	2871	-0.352345	0.000611	3.036873
600	2873	-0.351124	0.000611	3.141593
620	2738	-0.352956	0.001221	3.246312
640	2748	-0.351124	0.000611	3.351032
660	2762	-0.351124	0.000611	3.455752
680	2778	-0.351734	0.000000	3.560472
700	2670	-0.351124	0.000611	3.665191
720	2775	-0.349902	0.000611	3.769911
740	2701	-0.351124	0.000611	3.874631
760	2769	-0.351124	0.000611	3.979351
780	2798	-0.350513	0.001221	4.084070
800	2734	-0.350513	0.000000	4.188790
820	2765	-0.350513	0.001221	4.293510
840	2880	-0.349902	0.001832	4.398230
860	2821	-0.348070	0.001221	4.502949
880	2921	-0.348681	0.000611	4.607669
900	2765	-0.350513	0.001221	4.712389
920	2778	-0.349902	0.001832	4.817109
940	2670	-0.351124	0.000611	4.921829
960	2707	-0.350513	0.000000	5.026548
980	2702	-0.348070	0.000000	5.131268
1000	2633	-0.348070	0.001221	5.235988
1020	2700	-0.349902	0.000611	5.340708
1040	2678	-0.351124	0.000611	5.445427
1060	2711	-0.351124	0.000611	5.550147
1080	2685	-0.348681	0.000611	5.654867
1100	2790	-0.351124	0.000611	5.759587
1120	2744	-0.348681	0.001832	5.864306
1140	2876	-0.350513	0.000000	5.969026
1160	2789	-0.350513	0.001221	6.073746
1180	2839	-0.350513	0.000000	6.178466
