#File	/home/pi/RbData/2018-03-20/POL2018-03-20_110608.dat
#Comments	Run 6/7, AOUT=312, temp=120.5,  Stepping temp from 135.5 to 115 in steps of 3, 500 mTorr, AOUT=312, pump=s-
#IonGauge(Torr):	3.52E-04
#CVGauge(N2)(Torr):	5.92E-01
#CVGauge(He)(Torr):	1.16E-03
#CURTEMP_R(degC):	120.400002
#SETTEMP_R(degC):	120.500000
#CURTEMP_T(degC):	149.899994
#SETTEMP_T(degC):	150.000000
#AOUT:	312
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.031007
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	2784	-0.346849	0.000000	0.000000
20	2681	-0.349902	0.000611	0.104720
40	2781	-0.350513	0.000000	0.209440
60	2734	-0.349902	0.000611	0.314159
80	2660	-0.348070	0.001221	0.418879
100	2674	-0.349292	0.001221	0.523599
120	2578	-0.348070	0.000000	0.628319
140	2705	-0.348070	0.000000	0.733038
160	2779	-0.348681	0.000611	0.837758
180	2794	-0.351124	0.000611	0.942478
200	2752	-0.348681	0.000611	1.047198
220	2798	-0.349902	0.000611	1.151917
240	2815	-0.349292	0.001221	1.256637
260	2729	-0.348681	0.001832	1.361357
280	2899	-0.351124	0.001832	1.466077
300	2824	-0.351734	0.001221	1.570796
320	2741	-0.351734	0.000000	1.675516
340	2701	-0.351734	0.000000	1.780236
360	2792	-0.351124	0.000611	1.884956
380	2743	-0.351734	0.001221	1.989675
400	2776	-0.351124	0.000611	2.094395
420	2698	-0.351734	0.000000	2.199115
440	2757	-0.351734	0.000000	2.303835
460	2858	-0.353566	0.000611	2.408554
480	2771	-0.351734	0.000000	2.513274
500	2787	-0.352345	0.000611	2.617994
520	2881	-0.352345	0.000611	2.722714
540	2853	-0.351734	0.000000	2.827433
560	2837	-0.352345	0.000611	2.932153
580	2942	-0.353566	0.000611	3.036873
600	2743	-0.353566	0.000611	3.141593
620	2943	-0.353566	0.001832	3.246312
640	2785	-0.354177	0.000000	3.351032
660	2705	-0.353566	0.000611	3.455752
680	2759	-0.353566	0.000611	3.560472
700	2720	-0.354177	0.000000	3.665191
720	2673	-0.354787	0.001832	3.769911
740	2745	-0.355398	0.001221	3.874631
760	2677	-0.354787	0.001832	3.979351
780	2737	-0.354787	0.000611	4.084070
800	2853	-0.355398	0.000000	4.188790
820	2754	-0.354787	0.000611	4.293510
840	2845	-0.354787	0.000611	4.398230
860	2769	-0.355398	0.001221	4.502949
880	2893	-0.354787	0.000611	4.607669
900	2896	-0.354787	0.000611	4.712389
920	2853	-0.354177	0.000000	4.817109
940	2758	-0.355398	0.001221	4.921829
960	2708	-0.352956	0.000000	5.026548
980	2696	-0.352345	0.000611	5.131268
1000	2830	-0.352956	0.000000	5.235988
1020	2715	-0.352956	0.001221	5.340708
1040	2734	-0.351734	0.000000	5.445427
1060	2855	-0.351734	0.000000	5.550147
1080	2763	-0.352956	0.000000	5.654867
1100	2876	-0.352956	0.001221	5.759587
1120	2820	-0.352956	0.001221	5.864306
1140	2908	-0.351734	0.000000	5.969026
1160	2817	-0.352345	0.001832	6.073746
1180	2790	-0.351734	0.001221	6.178466
